IAN,IPV,IAA,IPS,IPP
5.0,7916665.0,8000020000000000.0,7.5,71875.0
10.0,7416665.0,8500020000000000.0,7.5,71875.0
5.0,7333333333333330.0,9000020000000000.0,7.5,7708333333333330.0
10.0,695833.0,875001.0,7.5,828125.0
10.0,7.25,9000020000000000.0,7.5,71875.0
5.0,5444446666666660.0,7.5,4375.0,6666666666666660.0
5.0,5499996666666660.0,916668.0,7.5,8125.0
10.0,88333375.0,791667.0,7.5,7.5
5.0,7277776666666660.0,9000020000000000.0,7.5,7291666666666660.0
10.0,8333335.0,7.5,5625.0,8125.0
10.0,86250075.0,624999.0,7.5,796875.0
5.0,7916665.0,8500020000000000.0,7.5,78125.0
5.0,7777776666666660.0,9500020000000000.0,7.5,7916666666666660.0
5.0,7444443333333330.0,8000020000000000.0,5.0,7291666666666660.0
5.0,7.75,8500020000000000.0,7.5,84375.0
5.0,7.75,9500020000000000.0,7.5,71875.0
5.0,7.5,9000020000000000.0,7.5,78125.0
5.0,41250025.0,791667.0,3125.0,5625.0
10.0,7111106666666660.0,8500020000000000.0,7.5,7916666666666660.0
10.0,866667.0,708333.0,7.5,8125.0
5.0,7333333333333330.0,8000020000000000.0,5.0,7291666666666660.0
5.0,704167.0,833334.0,6875.0,765625.0
10.0,85416725.0,791667.0,7.5,8125.0
5.0,74166675.0,708333.0,7.5,796875.0
10.0,7.5,9000020000000000.0,7.5,8125.0
5.0,1000001.0,9500020000000000.0,6.25,10.0
10.0,7666665.0,9500020000000000.0,7.5,78125.0
10.0,9000005.0,8000020000000000.0,7.5,8125.0
10.0,7916665.0,9500020000000000.0,8.75,84375.0
10.0,8.25,9000020000000000.0,7.5,71875.0
10.0,8222223333333330.0,8500020000000000.0,5625.0,8125.0
5.0,60416625.0,875001.0,7.5,78125.0
5.0,7777776666666660.0,733334.0,7.5,7916666666666660.0
5.0,4611106666666660.0,875001.0,4375.0,5833333333333330.0
10.0,65833325.0,833334.0,5.0,703125.0
10.0,72916675.0,8333350000000000.0,7.5,7.5
5.0,7.75,9000020000000000.0,5.0,5625.0
5.0,6916665.0,9000020000000000.0,6.25,71875.0
5.0,7666666666666660.0,9500020000000000.0,6875.0,7083333333333330.0
10.0,7333333333333330.0,8500020000000000.0,7.5,7291666666666660.0
10.0,92916725.0,916668.0,7.5,8.75
10.0,9250005.0,791667.0,5.0,90625.0
5.0,7777783333333330.0,875001.0,6875.0,8125.0
10.0,8.0,8500020000000000.0,5625.0,84375.0
5.0,7.5,750002.0,7.5,7291666666666660.0
5.0,7444443333333330.0,791667.0,7.5,7291666666666660.0
5.0,7777773333333330.0,9500020000000000.0,5625.0,7708333333333330.0
5.0,8.0,8500020000000000.0,5.0,65625.0
5.0,77500025.0,791667.0,7.5,796875.0
10.0,7.0,9500020000000000.0,7.5,8125.0
5.0,7.75,8000020000000000.0,6875.0,71875.0
10.0,66666675.0,666667.0,4375.0,71875.0
10.0,7.75,9000020000000000.0,4375.0,46875.0
10.0,7666665.0,9000020000000000.0,7.5,7.5
5.0,838889.0,833334.0,4375.0,8125.0
5.0,6833335.0,8500020000000000.0,5.0,5.0
5.0,8277776666666660.0,8500020000000000.0,7.5,6458333333333330.0
10.0,495834.0,666667.0,4375.0,515625.0
10.0,7.75,8500020000000000.0,7.5,7.5
10.0,6749995.0,750002.0,7.5,7.5
10.0,7916665.0,741668.0,7.5,8125.0
5.0,6999995.0,9000020000000000.0,7.5,7.5
10.0,7416665.0,9000020000000000.0,7.5,7.5
10.0,63333275.0,458334.0,7.5,640625.0
5.0,720833.0,7.5,7.5,796875.0
10.0,76249975.0,791667.0,7.5,796875.0
5.0,8.0,8000020000000000.0,7.5,7.5
5.0,7444443333333330.0,9500020000000000.0,7.5,7291666666666660.0
10.0,65416625.0,833334.0,7.5,734375.0
10.0,8.5,9000020000000000.0,5625.0,53125.0
10.0,574999.0,8500020000000000.0,7.5,7.5
10.0,7.75,9000020000000000.0,7.5,71875.0
5.0,1000001.0,9500020000000000.0,7.5,10.0
5.0,6624995.0,916668.0,4375.0,796875.0
5.0,7333333333333330.0,750002.0,5.0,7708333333333330.0
10.0,7722219999999990.0,8500020000000000.0,7.5,7708333333333330.0
10.0,7666665.0,9000020000000000.0,5625.0,8125.0
10.0,7166665.0,9000020000000000.0,4375.0,5625.0
10.0,8166666666666660.0,916668.0,7.5,8125.0
10.0,741667.0,791667.0,5.0,578125.0
5.0,683333.0,9000020000000000.0,5.0,7.5
5.0,66666625.0,875001.0,5625.0,8125.0
10.0,958334.0,9000020000000000.0,7.5,96875.0
5.0,7.5,9500020000000000.0,6875.0,78125.0
5.0,7611113333333330.0,875001.0,7.5,7708333333333330.0
5.0,7222216666666660.0,9000020000000000.0,4375.0,6875.0
5.0,7222216666666660.0,8000020000000000.0,7.5,6875.0
10.0,738889.0,833334.0,7.5,7708333333333330.0
10.0,7833329999999990.0,9000020000000000.0,6875.0,7083333333333330.0
5.0,6166665.0,7.5,5.0,6.25
5.0,611111.0,7.5,7.5,8125.0
10.0,67499975.0,916668.0,4375.0,7.5
10.0,8458335.0,958335.0,7.5,796875.0
5.0,7.25,9000020000000000.0,7.5,71875.0
10.0,8333335.0,9000020000000000.0,10.0,7.5
5.0,822222.0,9000020000000000.0,6.25,7708333333333330.0
5.0,72500025.0,958335.0,7.5,765625.0
5.0,7416665.0,9000020000000000.0,7.5,71875.0
10.0,5666656666666660.0,875001.0,7.5,6666666666666660.0
5.0,7833333333333330.0,8000020000000000.0,7.5,7291666666666660.0
5.0,6055549999999990.0,958335.0,7.5,7916666666666660.0
10.0,672222.0,9500020000000000.0,6.25,5.0
5.0,733333.0,8500020000000000.0,7.5,7.5
5.0,7916665.0,9000020000000000.0,7.5,71875.0
10.0,7277776666666660.0,9500020000000000.0,7.5,7.5
5.0,72916675.0,791667.0,7.5,84375.0
10.0,7944443333333330.0,9000020000000000.0,6.25,7083333333333330.0
5.0,7.75,8500020000000000.0,7.5,8125.0
10.0,7833333333333330.0,8000020000000000.0,5625.0,5625.0
5.0,7333333333333330.0,8500020000000000.0,7.5,7291666666666660.0
5.0,7666666666666660.0,666666.0,3125.0,8125.0
10.0,7583335.0,875001.0,5.0,859375.0
5.0,758333.0,9500020000000000.0,6875.0,71875.0
5.0,7444443333333330.0,9500020000000000.0,5.0,6875.0
10.0,791667.0,875001.0,6875.0,78125.0
5.0,811111.0,9000020000000000.0,7.5,7708333333333330.0
5.0,7222216666666660.0,9500020000000000.0,6875.0,6875.0
5.0,772222.0,9500020000000000.0,7.5,7291666666666660.0
10.0,8041665.0,833334.0,6.25,78125.0
5.0,7055553333333330.0,9000020000000000.0,5.0,7.5
5.0,6944439999999990.0,9500020000000000.0,7.5,7291666666666660.0
10.0,816667.0,9500020000000000.0,5.0,7708333333333330.0
5.0,7.5,9000020000000000.0,5.0,5625.0
10.0,649999.0,9500020000000000.0,7.5,78125.0
5.0,829167.0,958335.0,6875.0,765625.0
5.0,691666.0,8500020000000000.0,7.5,71875.0
10.0,8166665.0,666666.0,7.5,765625.0
5.0,8.0,9500020000000000.0,10.0,71875.0
10.0,8208335.0,916668.0,7.5,796875.0
10.0,7166665.0,8500020000000000.0,7.5,7.5
10.0,7222219999999990.0,958335.0,5.0,8125.0
10.0,87083375.0,791667.0,7.5,765625.0
10.0,641666.0,666666.0,6875.0,796875.0
10.0,79583325.0,875001.0,7.5,796875.0
5.0,7583335.0,8500020000000000.0,7.5,71875.0
5.0,7.5,9000020000000000.0,7.5,8125.0
5.0,758333.0,9000020000000000.0,7.5,71875.0
5.0,872223.0,833334.0,7.5,7916666666666660.0
5.0,6833326666666660.0,9500020000000000.0,6875.0,7916666666666660.0
5.0,7.5,9000020000000000.0,6.25,78125.0
5.0,7.75,8500020000000000.0,7.5,8125.0
5.0,7666666666666660.0,8500020000000000.0,7.5,7291666666666660.0
10.0,62916625.0,750001.0,4375.0,796875.0
5.0,7833333333333330.0,8500020000000000.0,7.5,7.5
5.0,7916665.0,9500020000000000.0,6.25,84375.0
5.0,7249995.0,8500020000000000.0,7.5,65625.0
5.0,7333333333333330.0,891668.0,7.5,6875.0
10.0,6833326666666660.0,7.5,7.5,8125.0
10.0,71666675.0,958335.0,5.0,796875.0
5.0,7111103333333330.0,833334.0,7.5,8125.0
10.0,891667.0,9500020000000000.0,7.5,7.5
5.0,761111.0,9000020000000000.0,7.5,7.5
5.0,733333.0,958335.0,6875.0,8125.0
5.0,7833333333333330.0,750002.0,7.5,7291666666666660.0
10.0,9083335.0,9000020000000000.0,6.25,5.0
5.0,7222223333333330.0,875001.0,7.5,7916666666666660.0
10.0,72916675.0,708334.0,6875.0,796875.0
5.0,7666666666666660.0,8500020000000000.0,7.5,7291666666666660.0
5.0,7.5,841668.0,7.5,5416666666666660.0
5.0,7944443333333330.0,9000020000000000.0,6875.0,7291666666666660.0
10.0,61666675.0,624999.0,5625.0,578125.0
5.0,68333325.0,958335.0,7.5,71875.0
5.0,805555.0,633335.0,5.0,6041666666666660.0
10.0,8208337499999990.0,875001.0,7.5,796875.0
5.0,7111106666666660.0,9000020000000000.0,7.5,7.5
5.0,77916625.0,916668.0,6.25,703125.0
10.0,720833.0,916668.0,5625.0,703125.0
5.0,7944443333333330.0,9500020000000000.0,5.0,5416666666666660.0
10.0,9833345.0,9000020000000000.0,7.5,10.0
10.0,761111.0,9000020000000000.0,7.5,7291666666666660.0
5.0,8.0,8500020000000000.0,6.25,7.5
10.0,70416675.0,791667.0,7.5,765625.0
5.0,7555549999999990.0,9500020000000000.0,3125.0,6041666666666660.0
10.0,5083325.0,625001.0,4375.0,71875.0
5.0,5611113333333330.0,708334.0,7.5,6875.0
10.0,6888883333333330.0,791668.0,7.5,7083333333333330.0
5.0,841667.0,833334.0,7.5,859375.0
10.0,7277776666666660.0,750002.0,7.5,7083333333333330.0
5.0,9000005.0,9500020000000000.0,8.75,78125.0
10.0,6500005.0,9000020000000000.0,7.5,7.5
10.0,6.75,8000020000000000.0,7.5,53125.0
5.0,7722219999999990.0,8500020000000000.0,5.0,6666666666666660.0
10.0,7722219999999990.0,8500020000000000.0,7.5,6458333333333330.0
10.0,70833325.0,791667.0,7.5,734375.0
10.0,8125.0,916668.0,7.5,7.5
5.0,6916665.0,9000020000000000.0,6.25,46875.0
5.0,7833333333333330.0,9000020000000000.0,7.5,7916666666666660.0
5.0,7555549999999990.0,8500020000000000.0,7.5,7.5
10.0,7916665.0,9000020000000000.0,6.25,78125.0
5.0,858334.0,9500020000000000.0,6.25,34375.0
10.0,6375.0,7.5,5625.0,671875.0
5.0,7.75,8000020000000000.0,5.0,46875.0
5.0,7.75,9000020000000000.0,7.5,71875.0
10.0,7.75,625001.0,5625.0,703125.0
10.0,958334.0,9000020000000000.0,5.0,5.0
5.0,7.5,700002.0,6.25,7291666666666660.0
10.0,699999.0,9000020000000000.0,7.5,78125.0
5.0,8055560000000000.0,9000020000000000.0,7.5,7916666666666660.0
10.0,6222213333333330.0,9000020000000000.0,7.5,7916666666666660.0
10.0,7944443333333330.0,8500020000000000.0,7.5,7291666666666660.0
5.0,7583335.0,8500020000000000.0,7.5,84375.0
10.0,7.75,9000020000000000.0,7.5,7.5
5.0,7666663333333330.0,9000020000000000.0,7.5,7708333333333330.0
5.0,7777776666666660.0,8500020000000000.0,7.5,7291666666666660.0
10.0,8333335.0,9500020000000000.0,6.25,7.5
5.0,7.75,8500020000000000.0,7.5,71875.0
10.0,7555553333333330.0,583334.0,7.5,5624999999999990.0
10.0,6333325.0,7.5,4375.0,65625.0
10.0,7833333333333330.0,9000020000000000.0,7.5,8125.0
5.0,7.5,9000020000000000.0,4375.0,7291666666666660.0
10.0,649999.0,8000020000000000.0,4375.0,7708333333333330.0
5.0,772222.0,624999.0,6.25,7708333333333330.0
10.0,7916665.0,9000020000000000.0,5.0,6875.0
5.0,7555553333333330.0,916668.0,3125.0,7708333333333330.0
10.0,7.5,8500020000000000.0,7.5,7.5
5.0,70416675.0,541667.0,5.0,671875.0
5.0,738889.0,875001.0,7.5,8125.0
10.0,791667.0,791667.0,5625.0,796875.0
5.0,6555553333333330.0,958335.0,6875.0,8125.0
10.0,6722216666666660.0,791667.0,7.5,8125.0
10.0,7.5,791667.0,5.0,84375.0
5.0,633333.0,9000020000000000.0,7.5,4375.0
10.0,6791665.0,541666.0,7.5,796875.0
10.0,8222226666666660.0,9000020000000000.0,7.5,7916666666666660.0
10.0,624999.0,9000020000000000.0,7.5,78125.0
10.0,616666.0,916668.0,7.5,796875.0
5.0,6611106666666660.0,916668.0,7.5,7291666666666660.0
5.0,7416665.0,8000020000000000.0,5.0,71875.0
10.0,7624995.0,875001.0,7.5,7.5
10.0,66666625.0,916668.0,7.5,796875.0
5.0,7916665.0,8500020000000000.0,7.5,8125.0
5.0,683333.0,7.5,7.5,71875.0
5.0,5611103333333330.0,958335.0,7.5,7916666666666660.0
5.0,7166665.0,9000020000000000.0,4375.0,8125.0
5.0,7333325.0,683334.0,7.5,71875.0
10.0,76250025.0,916668.0,7.5,796875.0
5.0,8111106666666660.0,9500020000000000.0,4375.0,6875.0
10.0,8083335.0,8000020000000000.0,7.5,7.5
10.0,8.0,8000020000000000.0,7.5,71875.0
5.0,7944443333333330.0,791668.0,5625.0,7916666666666660.0
5.0,7222216666666660.0,8500020000000000.0,5.0,7291666666666660.0
5.0,7444443333333330.0,9500020000000000.0,6.25,6875.0
10.0,6222216666666660.0,8000020000000000.0,7.5,6666666666666660.0
10.0,6944439999999990.0,958335.0,7.5,7708333333333330.0
5.0,6916655.0,9000020000000000.0,7.5,65625.0
10.0,75833325.0,708333.0,5625.0,6875.0
5.0,758333.0,9500020000000000.0,6875.0,71875.0
10.0,7.25,916668.0,7.5,796875.0
5.0,6888886666666660.0,9000020000000000.0,7.5,7083333333333330.0
5.0,9250005.0,9000020000000000.0,6875.0,8125.0
5.0,8.0,9500020000000000.0,6875.0,7083333333333330.0
10.0,7.25,9000020000000000.0,7.5,71875.0
5.0,7944446666666660.0,9000020000000000.0,4375.0,7.5
5.0,7555549999999990.0,9000020000000000.0,7.5,6.25
5.0,7916665.0,8000020000000000.0,7.5,7.5
10.0,811111.0,8500020000000000.0,7.5,7916666666666660.0
5.0,7.5,9000020000000000.0,7.5,84375.0
5.0,7944443333333330.0,9500020000000000.0,7.5,7291666666666660.0
5.0,7.75,8000020000000000.0,7.5,8125.0
10.0,7916665.0,9000020000000000.0,7.5,8125.0
10.0,66666625.0,958335.0,7.5,796875.0
10.0,7333333333333330.0,9500020000000000.0,7.5,7916666666666660.0
5.0,7.5,741668.0,6875.0,6875.0
5.0,8.0,9500020000000000.0,7.5,78125.0
5.0,6749995.0,958335.0,3125.0,78125.0
10.0,98333425.0,791667.0,7.5,859375.0
10.0,7444446666666660.0,875001.0,7.5,7500000000000000.0
10.0,8833335.0,8500020000000000.0,4375.0,59375.0
5.0,7055549999999990.0,9500020000000000.0,5.0,6875.0
10.0,7833333333333330.0,8500020000000000.0,7.5,7708333333333330.0
10.0,5374995.0,875001.0,7.5,765625.0
5.0,699999.0,9000020000000000.0,7.5,78125.0
5.0,7.5,8000020000000000.0,6.25,78125.0
5.0,7777776666666660.0,9500020000000000.0,7.5,7916666666666660.0
10.0,8000003333333330.0,958335.0,4375.0,7083333333333330.0
5.0,7666665.0,9500020000000000.0,6.25,6875.0
10.0,6222216666666660.0,916668.0,5.0,7083333333333330.0
10.0,7.75,8500020000000000.0,7.5,78125.0
5.0,7444443333333330.0,8500020000000000.0,7.5,7916666666666660.0
10.0,929167.0,916668.0,7.5,7.5
5.0,6833333333333330.0,791667.0,7.5,7083333333333330.0
10.0,8.0,9500020000000000.0,4375.0,7916666666666660.0
10.0,4666663333333330.0,916668.0,4375.0,6666666666666660.0
5.0,8.0,9500020000000000.0,7.5,8125.0
5.0,758333.0,9500020000000000.0,7.5,6875.0
10.0,7444443333333330.0,9500020000000000.0,7.5,6875.0
5.0,761111.0,9500020000000000.0,7.5,7291666666666660.0
10.0,6916665.0,916668.0,7.5,84375.0
10.0,722222.0,9000020000000000.0,6.25,7.5
5.0,699999.0,9000020000000000.0,7.5,7.5
10.0,7944443333333330.0,9500020000000000.0,6875.0,7708333333333330.0
10.0,8277776666666660.0,9000020000000000.0,7.5,7708333333333330.0
10.0,7.75,9000020000000000.0,10.0,8125.0
10.0,772222.0,833334.0,3125.0,6875.0
5.0,7944446666666660.0,916668.0,7.5,8125.0
5.0,7444443333333330.0,9000020000000000.0,7.5,7916666666666660.0
10.0,7416665.0,9000020000000000.0,5.0,71875.0
10.0,7916665.0,8000020000000000.0,7.5,8125.0
5.0,7222219999999990.0,8000020000000000.0,7.5,7.5
5.0,711111.0,8500020000000000.0,7.5,7916666666666660.0
10.0,8277776666666660.0,9000020000000000.0,7.5,7083333333333330.0
5.0,758333.0,9000020000000000.0,6875.0,71875.0
5.0,494444.0,7.5,3125.0,7708333333333330.0
10.0,90000025.0,875001.0,4375.0,890625.0
5.0,7111106666666660.0,9500020000000000.0,7.5,7916666666666660.0
5.0,9000005.0,9500020000000000.0,7.5,8125.0
10.0,8833335.0,9000020000000000.0,7.5,7.5
10.0,7944446666666660.0,8000020000000000.0,7.5,8125.0
5.0,7166663333333330.0,9500020000000000.0,7.5,7.5
5.0,6833326666666660.0,841668.0,6875.0,6458333333333330.0
10.0,779167.0,875001.0,7.5,796875.0
10.0,5611103333333330.0,7.5,7.5,7916666666666660.0
10.0,772222.0,916668.0,7.5,7.5
5.0,7555549999999990.0,9500020000000000.0,6875.0,7916666666666660.0
5.0,7.5,8500020000000000.0,7.5,8125.0
5.0,566666.0,8500020000000000.0,7.5,5.0
10.0,683333.0,9500020000000000.0,7.5,6875.0
5.0,7666666666666660.0,9000020000000000.0,7.5,7291666666666660.0
5.0,42916675.0,833334.0,3125.0,609375.0
10.0,741667.0,9000020000000000.0,4375.0,6875.0
5.0,7375.0,916668.0,7.5,796875.0
10.0,7222219999999990.0,750002.0,7.5,7708333333333330.0
5.0,1000001.0,9500020000000000.0,7.5,10.0
5.0,7166663333333330.0,700002.0,7.5,7083333333333330.0
5.0,7.75,9000020000000000.0,7.5,78125.0
10.0,7.5,958335.0,7.5,796875.0
5.0,8583335.0,791668.0,4375.0,46875.0
5.0,7.75,750002.0,7.5,71875.0
5.0,8.0,9500020000000000.0,7.5,8125.0
10.0,79166675.0,791667.0,6.25,7.5
5.0,933334.0,8000020000000000.0,7.5,5.0
10.0,97083425.0,916668.0,10.0,9375.0
10.0,7222216666666660.0,9000020000000000.0,5.0,7708333333333330.0
10.0,6541665.0,958335.0,6.25,734375.0
5.0,820834.0,7.5,6.25,78125.0
10.0,68333325.0,958335.0,7.5,796875.0
10.0,76250025.0,958335.0,5.0,78125.0
5.0,7499996666666660.0,691668.0,7.5,7708333333333330.0
5.0,7.5,8500020000000000.0,7.5,78125.0
5.0,670833.0,7.5,6.25,71875.0
5.0,5777770000000000.0,916668.0,6875.0,8125.0
10.0,761111.0,9500020000000000.0,7.5,7916666666666660.0
10.0,6916665.0,833334.0,7.5,78125.0
5.0,7.5,8000020000000000.0,7.5,7.5
5.0,5277776666666660.0,9500020000000000.0,5.0,6.25
10.0,8.0,9500020000000000.0,6.25,8125.0
10.0,7.25,8000020000000000.0,7.5,71875.0
5.0,7.25,9500020000000000.0,7.5,71875.0
10.0,88333375.0,708333.0,6875.0,828125.0
5.0,7277776666666660.0,8500020000000000.0,7.5,7916666666666660.0
5.0,758333.0,8000020000000000.0,6875.0,71875.0
5.0,7888886666666660.0,9000020000000000.0,7.5,8125.0
10.0,5.75,791667.0,7.5,703125.0
10.0,6777776666666660.0,8500020000000000.0,6875.0,6875.0
10.0,6333335.0,791667.0,4375.0,765625.0
10.0,7222219999999990.0,9000020000000000.0,7.5,7083333333333330.0
10.0,7.75,8500020000000000.0,7.5,84375.0
10.0,82500025.0,875001.0,6.25,84375.0
5.0,7611106666666660.0,9000020000000000.0,5.0,7083333333333330.0
10.0,9000005.0,700002.0,7.5,8125.0
10.0,937501.0,833334.0,4375.0,9375.0
10.0,7374995.0,916668.0,6875.0,734375.0
5.0,877778.0,8500020000000000.0,7.5,8.75
10.0,6833329999999990.0,691668.0,7.5,7916666666666660.0
10.0,7222216666666660.0,9500020000000000.0,5625.0,5208333333333330.0
10.0,7375.0,624999.0,7.5,84375.0
5.0,7249995.0,9500020000000000.0,7.5,71875.0
10.0,7.75,9500020000000000.0,7.5,8125.0
10.0,9125005.0,916668.0,6.25,859375.0
10.0,794444.0,666666.0,7.5,8125.0
5.0,77916675.0,916668.0,10.0,765625.0
5.0,7.0,8500020000000000.0,6875.0,78125.0
5.0,8222226666666660.0,791667.0,7.5,7916666666666660.0
5.0,7333333333333330.0,9500020000000000.0,7.5,7291666666666660.0
10.0,52916625.0,791667.0,3125.0,640625.0
5.0,8055560000000000.0,833334.0,7.5,8125.0
5.0,822222.0,8500020000000000.0,5.0,7291666666666660.0
10.0,7888886666666660.0,8500020000000000.0,7.5,7708333333333330.0
5.0,6555550000000000.0,875001.0,7.5,7708333333333330.0
10.0,699999.0,9000020000000000.0,7.5,78125.0
5.0,6666663333333330.0,8500020000000000.0,7.5,6666666666666660.0
10.0,50833275.0,791667.0,5.0,6.25
5.0,7.25,8500020000000000.0,5625.0,59375.0
5.0,77916675.0,791667.0,6875.0,7.5
10.0,6583335.0,9500020000000000.0,7.5,7.5
10.0,8583335.0,791667.0,7.5,828125.0
5.0,6944439999999990.0,8000020000000000.0,7.5,7083333333333330.0
5.0,8.5,9000020000000000.0,4375.0,5.0
10.0,80416725.0,7.5,7.5,8125.0
5.0,5666660000000000.0,833334.0,5.0,7.5
5.0,7750005.0,9500020000000000.0,7.5,7.5
5.0,7.5,641668.0,6875.0,7291666666666660.0
5.0,8.0,9000020000000000.0,4375.0,7916666666666660.0
5.0,7.5,9000020000000000.0,7.5,7708333333333330.0
5.0,6583325.0,691668.0,5.0,65625.0
10.0,866667.0,9500020000000000.0,7.5,8125.0
5.0,5777770000000000.0,833334.0,7.5,8125.0
5.0,9000005.0,9500020000000000.0,7.5,8125.0
10.0,92083425.0,875001.0,6875.0,8125.0
10.0,6583325.0,8000020000000000.0,5.0,6.25
10.0,6333335.0,916668.0,6875.0,734375.0
5.0,8.1,7.5,6.9,7.7
10.0,7.2,7.1,6.3,7.3
10.0,7.4,7.4,7.5,8.5
10.0,8.5,8.8,7.5,8.0
10.0,9.7,9.0,6.3,7.7
5.0,8.8,9.5,7.5,8.4
5.0,8.3,9.0,7.5,7.7
10.0,9.9,8.3,7.5,9.4
5.0,7.9,9.6,7.5,7.5
5.0,8.7,6.9,7.5,7.7
5.0,9.4,9.2,7.5,8.4
5.0,8.0,9.2,7.5,8.3
10.0,6.0,10.0,7.5,7.2
10.0,8.4,8.5,7.5,8.1
5.0,5.8,8.5,7.5,7.5
10.0,8.6,9.0,7.5,7.7
10.0,5.8,7.5,7.5,7.3
5.0,9.2,9.6,8.1,8.1
5.0,7.2,8.8,5.6,7.8
10.0,7.0,8.3,6.3,7.7
5.0,7.7,7.9,6.9,7.2
5.0,6.2,8.5,7.5,8.1
5.0,10.0,10.0,7.5,8.1
5.0,7.7,8.0,7.5,8.5
5.0,6.1,7.4,7.5,8.3
10.0,9.7,10.0,7.5,8.8
10.0,9.2,10.0,7.5,7.5
5.0,8.1,9.5,7.5,7.5
5.0,5.6,8.9,7.5,7.3
10.0,7.7,7.9,7.5,8.1
5.0,9.1,9.5,6.3,8.1
5.0,7.0,7.1,7.5,7.2
10.0,5.9,8.0,7.5,6.6
5.0,6.0,8.0,7.5,7.5
5.0,7.5,9.2,7.5,7.5
5.0,7.8,6.3,7.5,7.9
10.0,8.6,9.5,6.3,7.9
10.0,6.8,9.0,7.5,7.2
5.0,10.0,10.0,7.5,8.3
5.0,8.2,7.5,7.5,8.4
5.0,7.4,8.3,7.5,8.4
5.0,6.9,9.2,6.9,7.7
5.0,6.6,9.5,7.5,8.1
10.0,7.6,8.5,7.5,8.3
10.0,8.2,8.5,7.5,7.5
5.0,6.8,8.5,7.5,7.5
10.0,9.7,9.0,7.5,8.1
10.0,7.2,6.3,7.5,7.9
5.0,7.3,9.0,7.5,7.2
5.0,6.9,10.0,7.5,7.5
5.0,8.4,9.5,7.5,7.7
5.0,7.3,9.5,6.3,6.9
5.0,6.2,8.0,7.5,5.0
10.0,6.8,7.9,6.3,7.5
10.0,9.4,8.8,6.9,8.3
5.0,10.0,9.5,8.1,10.0
10.0,9.8,8.8,7.5,8.3
10.0,9.0,10.0,7.5,8.0
5.0,6.3,9.5,7.5,8.1
10.0,8.8,7.5,6.3,8.3
5.0,6.1,8.3,6.9,6.9
5.0,9.3,9.0,7.5,8.1
5.0,6.8,8.5,7.5,7.5
10.0,6.7,9.5,7.5,7.5
5.0,7.7,10.0,7.5,8.3
5.0,8.3,10.0,7.5,7.5
5.0,9.0,8.8,7.5,8.3
5.0,7.5,9.6,5.0,7.7
5.0,5.7,7.5,5.0,6.7
10.0,6.3,9.0,7.5,6.9
10.0,8.0,8.5,7.5,7.5
10.0,7.8,8.0,7.5,7.2
5.0,7.8,7.1,7.5,8.1
5.0,9.6,9.2,5.6,7.9
10.0,8.6,8.3,7.5,8.1
5.0,8.0,7.0,7.5,7.5
5.0,9.2,8.5,7.5,8.1
10.0,8.9,9.6,7.5,8.8
5.0,8.4,8.5,7.5,8.1
10.0,9.7,9.5,7.5,8.1
10.0,6.7,8.3,6.9,7.5
5.0,7.3,8.5,7.5,6.9
10.0,7.5,9.2,6.9,8.0
